url,appellation,verbaleDating,processedDating,ID
https://www.deckenmalerei.eu/cf50d13d-e74d-4c77-83e1-010af536abc3,Der östliche Raum im ersten Obergeschoss,,,cf50d13d-e74d-4c77-83e1-010af536abc3
https://www.deckenmalerei.eu/13ab9ea5-d800-4408-89d0-7951f406cd7f,Rauum 3,,,13ab9ea5-d800-4408-89d0-7951f406cd7f
https://www.deckenmalerei.eu/7481c42d-8b5c-46bf-b39a-b1c5aafe0ab8,Raum 2,,,7481c42d-8b5c-46bf-b39a-b1c5aafe0ab8
https://www.deckenmalerei.eu/f2bbebd1-f32a-4f5f-9c4f-88d76c61ad0a,Raum 1,,,f2bbebd1-f32a-4f5f-9c4f-88d76c61ad0a
https://www.deckenmalerei.eu/35f9d5fd-a6ef-47df-a63e-4ffccb09bb9f,Mittelraum des Obergeschosses,,,35f9d5fd-a6ef-47df-a63e-4ffccb09bb9f
https://www.deckenmalerei.eu/0bb86f80-42ba-41a8-971e-3763cf46b02d,,,,0bb86f80-42ba-41a8-971e-3763cf46b02d
https://www.deckenmalerei.eu/302a76f3-7605-4ff0-a074-945c201802eb,Empfangssaal,1752,1752,302a76f3-7605-4ff0-a074-945c201802eb
https://www.deckenmalerei.eu/01ac7129-cbba-49a5-9215-d0e8f56c1070,Apsis,1732-1739,,01ac7129-cbba-49a5-9215-d0e8f56c1070
https://www.deckenmalerei.eu/484ea519-0148-40a7-a337-6458eb65ccd6,Langhaus,1732-1739,,484ea519-0148-40a7-a337-6458eb65ccd6
https://www.deckenmalerei.eu/6bd96617-25f4-4d11-8d66-bca2873d0065,Vorchor,1732-1739,,6bd96617-25f4-4d11-8d66-bca2873d0065
https://www.deckenmalerei.eu/2974bf3b-c92f-4622-b4b5-14200e87b71f,Porzellankabinett,,,2974bf3b-c92f-4622-b4b5-14200e87b71f
https://www.deckenmalerei.eu/525e0e4a-9342-45ed-a87e-d343585837cf,Vorzimmer / Musiksaal,1753,1753,525e0e4a-9342-45ed-a87e-d343585837cf
https://www.deckenmalerei.eu/5742d3fd-5d0b-4e71-abfc-03d97c8ab443,Audienzzimmer,1746-1764,,5742d3fd-5d0b-4e71-abfc-03d97c8ab443
https://www.deckenmalerei.eu/a802743c-5b89-4ec8-817a-5b42d4ef0001,Schlafzimmer,,,a802743c-5b89-4ec8-817a-5b42d4ef0001
https://www.deckenmalerei.eu/3063503b-cafc-472e-a019-2474f488ab33,Großer Saal,1746-1764,,3063503b-cafc-472e-a019-2474f488ab33
https://www.deckenmalerei.eu/c40a9b9c-0323-41e0-97e1-08fafee13293,Treppenhaus,1746-1764,,c40a9b9c-0323-41e0-97e1-08fafee13293
https://www.deckenmalerei.eu/b55f8e40-4d4e-4463-9c96-dbf93acb7a9d,Aeneasgalerie,1746–1764; 1961–1963,,b55f8e40-4d4e-4463-9c96-dbf93acb7a9d
https://www.deckenmalerei.eu/04f6c24a-abd2-4e77-acd7-b87597e30e34,Die ehem. Sommerstube,1720-1770,,04f6c24a-abd2-4e77-acd7-b87597e30e34
https://www.deckenmalerei.eu/025cd74a-6564-43cc-b990-cc6a711928f1,Der so genannte Weiße Saal,,,025cd74a-6564-43cc-b990-cc6a711928f1
https://www.deckenmalerei.eu/163beb03-5f80-4d8e-a174-c86b475e7feb,Der so genannte Graue Saal,,,163beb03-5f80-4d8e-a174-c86b475e7feb
https://www.deckenmalerei.eu/21b11baf-16d3-4566-82a9-94ef960e871d,Das so genannte Apfelzimmer,,,21b11baf-16d3-4566-82a9-94ef960e871d
https://www.deckenmalerei.eu/23f31e04-b209-4d5f-a2ea-06be17983b59,Der so genannte Schlachtensaal,1698,1698,23f31e04-b209-4d5f-a2ea-06be17983b59
https://www.deckenmalerei.eu/33333b6c-aab1-40e6-879f-90539efe6b2c,Das so genannte Zimmer in Ziegelrot,,,33333b6c-aab1-40e6-879f-90539efe6b2c
https://www.deckenmalerei.eu/34947697-4592-4866-ac16-fb68b60f9469,Das so genannte Gelbe Zimmer,,,34947697-4592-4866-ac16-fb68b60f9469
https://www.deckenmalerei.eu/6c103697-7309-4d49-b331-7f2364120382,Das so genannte Fräuleinzimmer,,,6c103697-7309-4d49-b331-7f2364120382
https://www.deckenmalerei.eu/87261bdc-8bd4-44d0-a9a8-2b32a4cb2306,Der so genannte Rote Saal,,,87261bdc-8bd4-44d0-a9a8-2b32a4cb2306
https://www.deckenmalerei.eu/911d960c-0942-4cd6-8428-7a163c46a6d0,Das so genannte Historische Zimmer,,,911d960c-0942-4cd6-8428-7a163c46a6d0
https://www.deckenmalerei.eu/a16dcdff-7fc3-4054-950b-ec8e879cd118,Das so genannte Davidzimmer,,,a16dcdff-7fc3-4054-950b-ec8e879cd118
https://www.deckenmalerei.eu/a3c90cf4-fdf9-4a5c-bb6d-f07995201121,Das so genannte Grüne Zimmer,,,a3c90cf4-fdf9-4a5c-bb6d-f07995201121
https://www.deckenmalerei.eu/a9a5b710-6d86-4bfd-9929-8705da6e8c72,Das so genannte Fürstenzimmer,,,a9a5b710-6d86-4bfd-9929-8705da6e8c72
https://www.deckenmalerei.eu/5b8ad27a-91fe-4740-b7fb-33d792b4f1b5,Das Vorzimmer (Raum 201),1764-1771,,5b8ad27a-91fe-4740-b7fb-33d792b4f1b5
https://www.deckenmalerei.eu/1be61640-67ec-45f5-ab83-e6bec9a2b271,Schreib-Cabinet,1764-1771,,1be61640-67ec-45f5-ab83-e6bec9a2b271
https://www.deckenmalerei.eu/d86abcfb-486b-41cb-a34b-850960ddab36,Das Treppenhaus,1764-1768,,d86abcfb-486b-41cb-a34b-850960ddab36
https://www.deckenmalerei.eu/3f952a2d-d2fc-4045-9cb2-d253127b6757,Programm und Synthese,1764-1771,,3f952a2d-d2fc-4045-9cb2-d253127b6757
https://www.deckenmalerei.eu/175ed11a-5634-444b-96e2-531d3ef6463e,Treppenhaus,1698-1700,,175ed11a-5634-444b-96e2-531d3ef6463e
https://www.deckenmalerei.eu/3838ea21-7bc5-4d22-a2e1-eb98143ab0bd,Speisesaal,1698-1700,,3838ea21-7bc5-4d22-a2e1-eb98143ab0bd
https://www.deckenmalerei.eu/69fbeb29-0e43-459a-a9d9-ecca1506fb36,Oberes Vestibül,1698-1700,,69fbeb29-0e43-459a-a9d9-ecca1506fb36
https://www.deckenmalerei.eu/ed80c4d8-b971-4cda-8418-00dd8ba30c3e,Unteres Vestibül,1698-1700,,ed80c4d8-b971-4cda-8418-00dd8ba30c3e
https://www.deckenmalerei.eu/f1b5c385-252d-4a53-8d7c-d930cd06a93f,Empfangszimmer,1698-1700,,f1b5c385-252d-4a53-8d7c-d930cd06a93f
https://www.deckenmalerei.eu/6aab253d-6cef-474a-8be0-20c49eca8eb0,Die Kapelle im Erdgeschoss,1698-1700,,6aab253d-6cef-474a-8be0-20c49eca8eb0
https://www.deckenmalerei.eu/1743807d-688f-4dca-944c-61f5353a177e,Schlafzimmer des Freiherrn,1698-1700,,1743807d-688f-4dca-944c-61f5353a177e
https://www.deckenmalerei.eu/7deb7ebe-447d-4ca9-b82b-7440e1384c91,Schlafzimmer der Freiin,1698-1700,,7deb7ebe-447d-4ca9-b82b-7440e1384c91
https://www.deckenmalerei.eu/c3a93838-9e97-4f85-9994-d15c5729f768,gemeinsames Zwischengemach,1698-1700,,c3a93838-9e97-4f85-9994-d15c5729f768
https://www.deckenmalerei.eu/1e059707-920c-4b92-b854-4020bb7f320b,Der östliche Kuppelsaal,1730-1740,,1e059707-920c-4b92-b854-4020bb7f320b
https://www.deckenmalerei.eu/207df8a1-3c3a-4f1d-b938-39a9ba438e96,Der so genannte Silbergraue Salon,"1725-1730, 1828, 1898.",,207df8a1-3c3a-4f1d-b938-39a9ba438e96
https://www.deckenmalerei.eu/53239094-d6d8-4111-827f-985014ab1786,Der Dachpavillon - das Belvedere,1725-1735,,53239094-d6d8-4111-827f-985014ab1786
https://www.deckenmalerei.eu/59b7bdfd-79b4-4f07-a8a1-6dd4bfcd3e90,Der westliche Kuppelsaal,1730-1740,,59b7bdfd-79b4-4f07-a8a1-6dd4bfcd3e90
https://www.deckenmalerei.eu/7c757fec-f851-4d85-8f4c-4dd0cce6fee2,Der Hauptsaal,1725-1730,,7c757fec-f851-4d85-8f4c-4dd0cce6fee2
https://www.deckenmalerei.eu/90df676b-afbb-45d3-9b57-54a782b2f63a,Salon im ersten Stockwerk,,,90df676b-afbb-45d3-9b57-54a782b2f63a
https://www.deckenmalerei.eu/75364280-6e0a-11ea-be27-35ed93ab355f,Hauptsaal,"1693, um 1930",,75364280-6e0a-11ea-be27-35ed93ab355f
https://www.deckenmalerei.eu/4916cf04-5cbe-41d8-9fd8-b31f315abcfa,Rotes Lackkabinett / Kabinett der Kurfürstin,,,4916cf04-5cbe-41d8-9fd8-b31f315abcfa
https://www.deckenmalerei.eu/37439371-0b72-44c7-a561-a7f09e2ed73a,Speisezimmer,,,37439371-0b72-44c7-a561-a7f09e2ed73a
https://www.deckenmalerei.eu/09e31cff-5541-4bf3-be51-660d73e66e6c,Audienzgemach,,,09e31cff-5541-4bf3-be51-660d73e66e6c
https://www.deckenmalerei.eu/0c050126-237a-4979-a83a-07a48b84ae6d,Unterer Saal vor dem Tafelgemach,,,0c050126-237a-4979-a83a-07a48b84ae6d
https://www.deckenmalerei.eu/28542094-2e03-4274-8458-85f15fedbc51,Stube neben dem Saal,,,28542094-2e03-4274-8458-85f15fedbc51
https://www.deckenmalerei.eu/3a38d4aa-d7c6-48b6-940d-8874cecf546c,Vorgemach im Dachgeschoss,,,3a38d4aa-d7c6-48b6-940d-8874cecf546c
https://www.deckenmalerei.eu/42b383a4-d3eb-4432-a41c-33d3a875d5e7,Raum links neben dem Tafelgemach,,,42b383a4-d3eb-4432-a41c-33d3a875d5e7
https://www.deckenmalerei.eu/56acecfe-4281-4e05-9738-81fdb1814d3d,Schlafkammer,,,56acecfe-4281-4e05-9738-81fdb1814d3d
https://www.deckenmalerei.eu/668cccf4-6cc2-4233-9e8b-f26b96cd2a10,Stube neben der Kammer,,,668cccf4-6cc2-4233-9e8b-f26b96cd2a10
https://www.deckenmalerei.eu/70caba34-fed1-4613-b486-5e067ae3c173,Tafelgemach,,,70caba34-fed1-4613-b486-5e067ae3c173
https://www.deckenmalerei.eu/70f0dd97-e837-46db-8281-5c61687919d2,Gemach neben dem Kleinen Schlafgemach,,,70f0dd97-e837-46db-8281-5c61687919d2
https://www.deckenmalerei.eu/7a03cc7f-c6c0-422a-bc6e-ffd1825e6a63,Hauptsaal,1740,1740,7a03cc7f-c6c0-422a-bc6e-ffd1825e6a63
https://www.deckenmalerei.eu/807c1a98-a2fa-41f0-a060-1dc9fc7f1b9e,Gemach im Dachgeschoss,,,807c1a98-a2fa-41f0-a060-1dc9fc7f1b9e
https://www.deckenmalerei.eu/a7966b19-009e-40ef-a7b3-398ca34b129b,Entrée,,,a7966b19-009e-40ef-a7b3-398ca34b129b
https://www.deckenmalerei.eu/b444afaf-df7d-4f88-a597-54cb18e06e3e,Kammer neben dem Schlafgemach,,,b444afaf-df7d-4f88-a597-54cb18e06e3e
https://www.deckenmalerei.eu/bfe65d20-802b-471d-be49-2c78791692ce,Vorgemach,,,bfe65d20-802b-471d-be49-2c78791692ce
https://www.deckenmalerei.eu/c4018099-22e7-49ca-a052-b9fca362ec29,Kleines Schlafgemach,,,c4018099-22e7-49ca-a052-b9fca362ec29
https://www.deckenmalerei.eu/c5b63260-1bd2-40fc-9f7a-b04ca1a98990,Stube neben der Schlafkammer,,,c5b63260-1bd2-40fc-9f7a-b04ca1a98990
https://www.deckenmalerei.eu/caf6a325-d531-47c8-98e3-2fd6a0656ad9,Anderes Schlafkämmerchen,,,caf6a325-d531-47c8-98e3-2fd6a0656ad9
https://www.deckenmalerei.eu/cd27a684-affc-4a33-b72f-b359aa55a1b3,Treppenhaus,,,cd27a684-affc-4a33-b72f-b359aa55a1b3
https://www.deckenmalerei.eu/d8b906aa-a6dd-4247-87b9-009401ed6672,Stube rechts neben dem Tafelgemach,,,d8b906aa-a6dd-4247-87b9-009401ed6672
https://www.deckenmalerei.eu/dafe4fc2-2738-402c-86dd-80d3145f28ef,Raum links neben dem Vorgemach,,,dafe4fc2-2738-402c-86dd-80d3145f28ef
https://www.deckenmalerei.eu/dfe3b6cd-2c9b-49b8-8177-e2524fb0c914,Schlafgemach,,,dfe3b6cd-2c9b-49b8-8177-e2524fb0c914
https://www.deckenmalerei.eu/fd56e4aa-62b4-48a5-a3f8-b7c90f362e47,Zimmer nach dem Audienzgemach,,,fd56e4aa-62b4-48a5-a3f8-b7c90f362e47
https://www.deckenmalerei.eu/b4f4f2d2-1d9a-482d-a25e-9d17cad6dbf3,Das obere Vestibül,1733-1735,,b4f4f2d2-1d9a-482d-a25e-9d17cad6dbf3
https://www.deckenmalerei.eu/59bb53a2-7887-4637-bb88-ec2a5a247d8e,Die Bohlenstube,,,59bb53a2-7887-4637-bb88-ec2a5a247d8e
https://www.deckenmalerei.eu/2bd55f3f-3240-498d-a0c2-f7c3cb812990,Die ehemalige Sommerstube,"1697, 1765-1775",,2bd55f3f-3240-498d-a0c2-f7c3cb812990
