appellation,gender,ID
"Pichler, Johann Adam",MALE,9e63f4c5-6911-4804-b9dc-988dfb588f05
"Effner, Joseph",MALE,e997c510-5030-4309-9a36-eaddddd58a64
"Werthern, Johann von",MALE,cf01c1a7-8fbc-442e-97b7-b92fa4abf085
"Stange, Florian",MALE,c2f1eab7-aad5-4f96-b97c-53c5fc9ae375
"Stange, Heinrich",MALE,890d2fc0-3143-483a-b282-ebb051edf6c8
"Stange, Kaspar",MALE,357110b9-335a-4abc-bea9-ff6545047a05
"Werder, Joachim Friedrich von",MALE,44ce6f18-425a-4b0e-87df-a4551af35f6a
"Gaivan, Lilia",FEMALE,f03dead2-a316-4f1c-af06-90caca634667
"Carlo di Cesare, del Palagio",MALE,edfd08e9-ac24-4044-b57a-2fd6f3063dd5
"Ponzano, Antonio",MALE,edb981e1-c3a1-49e7-8706-ec2158e9a8ca
"Paduano, Alessandro",MALE,b078965f-a34f-4617-93e8-d3be78aac94f
"Geiger, Franz Josef",MALE,054a5008-09a9-4b87-a4fb-a6ed2ebda7fb
"Ferdinand Maria, Bayern, Kurfürst",MALE,5b3380d3-cbf6-46a7-b035-69a82c769816
"Ludwig II., König, Bayern",MALE,2fb67422-1cb3-4313-be4d-57521a0bbe73
"Renata, Lothringen, Herzogin",FEMALE,739b3e64-aeb6-47de-be57-a3b6c72c8db7
"Ritter, Johann Heinrich",MALE,6416abf0-5fd6-45ac-9f80-ab56a507730f
"Vogel, Benedikt",MALE,6ba7b75f-7379-43ea-895c-309938878533
"Freyberg-Eisenberg, Franz Joseph",MALE,c7b05292-e2fc-479d-a348-e3ea3404e2f9
"Bluem, Abraham",MALE,b4c0ed8d-d58c-4caa-aa35-f0cd83dc77ba
"Dietrich, Johann Friedrich",MALE,e77e7e62-7545-434b-817b-073db39bd65a
"Dietrich, Johann Heinrich",MALE,a01b013d-250c-4e95-8fe7-9e22a0ad1a91
Friedrich Otto Graf von Dernath,,dad274f7-246b-44e6-b49e-568c2fab2ae7
"Simola, Johann Gottfried",,b86fecc5-8fd5-4cf1-a86e-5ea8c34e15ec
"Brenken, Ferdinand von",MALE,c4c410f5-d099-4313-9aa0-4a97cb1c0f05
"Wurmstich, Nikolaus",MALE,df0080c5-83c1-4679-b988-6230ebf97c07
